ticker,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,USDJPY=X,USDJPY=X,USDJPY=X,USDJPY=X,USDJPY=X,USDJPY=X,USDJPY=X
indicator,sma,ema,rsi,macd,bollinger_bands,stochastic,adx,sma,ema,rsi,macd,bollinger_bands,stochastic,adx
Datetime,,,,,,,,,,,,,,
2026-01-27 00:30:00+00:00,1,1,0,-1,0,-1,Strong Trend,-1,-1,0,1,0,-1,Extremely Strong Trend
2026-01-27 01:30:00+00:00,1,1,0,-1,0,1,Strong Trend,-1,-1,0,1,0,-1,Extremely Strong Trend
2026-01-27 02:30:00+00:00,1,1,0,-1,0,-1,Strong Trend,1,-1,0,1,0,1,Extremely Strong Trend
2026-01-27 03:30:00+00:00,1,1,0,-1,0,-1,Strong Trend,1,-1,0,1,0,1,Extremely Strong Trend
2026-01-27 04:30:00+00:00,1,1,0,-1,0,-1,Strong Trend,1,-1,0,1,0,1,Extremely Strong Trend
2026-01-27 05:30:00+00:00,1,1,0,-1,0,-1,Strong Trend,1,-1,0,1,0,-1,Strong Trend
2026-01-27 06:30:00+00:00,1,1,0,-1,0,-1,Strong Trend,1,-1,0,1,0,-1,Strong Trend
2026-01-27 07:30:00+00:00,1,1,0,-1,0,1,Strong Trend,1,-1,0,1,0,-1,Strong Trend
2026-01-27 08:30:00+00:00,1,1,0,-1,0,-1,Strong Trend,1,-1,0,1,0,1,Strong Trend
2026-01-27 09:30:00+00:00,1,1,0,-1,0,-1,Strong Trend,1,-1,0,1,0,1,Strong Trend
2026-01-27 10:30:00+00:00,1,1,0,-1,0,1,Strong Trend,1,-1,0,1,0,-1,Strong Trend
2026-01-27 11:30:00+00:00,1,1,0,-1,0,-1,Strong Trend,1,-1,0,1,0,-1,Strong Trend
2026-01-27 12:30:00+00:00,1,1,0,-1,0,-1,Strong Trend,1,1,0,1,0,1,Strong Trend
2026-01-27 13:30:00+00:00,-1,1,0,-1,0,1,Strong Trend,1,1,0,1,0,-1,Strong Trend
2026-01-27 14:30:00+00:00,-1,1,0,-1,0,1,Strong Trend,1,-1,0,1,0,-1,Strong Trend
2026-01-27 15:30:00+00:00,-1,1,0,-1,0,1,Strong Trend,1,-1,0,1,0,-1,Strong Trend
2026-01-27 16:30:00+00:00,-1,1,0,-1,0,1,Strong Trend,1,-1,0,1,0,-1,Strong Trend
2026-01-27 17:30:00+00:00,1,1,-1,1,-1,1,Strong Trend,1,-1,1,-1,1,-1,Strong Trend
2026-01-27 18:30:00+00:00,1,1,0,1,-1,-1,Strong Trend,-1,-1,1,-1,1,-1,Strong Trend
2026-01-27 19:30:00+00:00,1,1,-1,1,-1,1,Strong Trend,-1,-1,1,-1,0,1,Strong Trend
2026-01-27 20:30:00+00:00,1,1,-1,1,-1,-1,Strong Trend,-1,-1,1,-1,0,1,Strong Trend
